"Date","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Daily Mean Travel Time (Seconds)","Daily Range - Lower Bound Travel Time (Seconds)","Daily Range - Upper Bound Travel Time (Seconds)","AM Mean Travel Time (Seconds)","AM Range - Lower Bound Travel Time (Seconds)","AM Range - Upper Bound Travel Time (Seconds)","PM Mean Travel Time (Seconds)","PM Range - Lower Bound Travel Time (Seconds)","PM Range - Upper Bound Travel Time (Seconds)","Midday Mean Travel Time (Seconds)","Midday Range - Lower Bound Travel Time (Seconds)","Midday Range - Upper Bound Travel Time (Seconds)","Evening Mean Travel Time (Seconds)","Evening Range - Lower Bound Travel Time (Seconds)","Evening Range - Upper Bound Travel Time (Seconds)","Early Morning Mean Travel Time (Seconds)","Early Morning Range - Lower Bound Travel Time (Seconds)","Early Morning Range - Upper Bound Travel Time (Seconds)"
"01/01/2018","89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","169","Whitefield, Bengaluru, Karnataka",2289,1660,3157,1760,1392,2226,2860,2376,3442,2329,1854,2926,2229,1593,3117,2116,1483,3019
"01/02/2018","89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","169","Whitefield, Bengaluru, Karnataka",2922,1963,4348,3286,2532,4265,4337,3864,4868,2962,2351,3733,2445,1651,3622,1723,1280,2320
"01/03/2018","89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","169","Whitefield, Bengaluru, Karnataka",3014,2017,4504,3347,2670,4195,4422,3793,5156,3099,2654,3618,3117,2158,4503,1722,1269,2338
"01/04/2018","89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","169","Whitefield, Bengaluru, Karnataka",3014,1973,4604,3085,2300,4136,3825,3384,4322,3592,2799,4609,2805,1842,4272,1468,1189,1813
"01/05/2018","89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","169","Whitefield, Bengaluru, Karnataka",3156,2215,4498,3350,2539,4421,4184,3560,4918,3046,2582,3593,2827,2010,3977,1495,1205,1854
"01/06/2018","89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","169","Whitefield, Bengaluru, Karnataka",2664,1918,3700,2095,1751,2507,3429,2937,4003,3275,2805,3824,2377,1829,3088,1555,1277,1894
"01/07/2018","89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","169","Whitefield, Bengaluru, Karnataka",2211,1669,2928,2002,1624,2466,2636,2260,3075,2160,1844,2529,2319,1722,3123,1452,1137,1854
"01/08/2018","89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","169","Whitefield, Bengaluru, Karnataka",3239,2109,4977,3934,2944,5257,4265,3422,5317,3478,2802,4317,2865,2047,4011,1740,1304,2322
"01/09/2018","89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","169","Whitefield, Bengaluru, Karnataka",3221,2097,4946,3664,2974,4513,4672,3828,5702,3326,2776,3985,2738,1902,3940,1382,1130,1689
"01/10/2018","89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","169","Whitefield, Bengaluru, Karnataka",3327,2145,5160,3829,3082,4757,4548,3493,5920,3327,2681,4127,2900,1878,4478,1812,1145,2867
"01/11/2018","89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","169","Whitefield, Bengaluru, Karnataka",3266,2196,4856,4155,3425,5041,3493,2973,4105,3677,3089,4377,3027,2094,4375,1640,1216,2212
"01/12/2018","89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","169","Whitefield, Bengaluru, Karnataka",3269,2207,4842,3911,3366,4544,4108,3577,4717,3267,2747,3885,3272,2218,4827,1507,1199,1894
"01/13/2018","89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","169","Whitefield, Bengaluru, Karnataka",2422,1769,3317,2065,1806,2362,3197,2738,3733,2890,2474,3375,2322,1783,3022,1578,1293,1927
"01/14/2018","89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","169","Whitefield, Bengaluru, Karnataka",2065,1538,2771,1718,1451,2036,2343,1920,2859,2164,1835,2553,2064,1423,2994,1709,1256,2326
"01/15/2018","89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","169","Whitefield, Bengaluru, Karnataka",2084,1604,2708,2029,1720,2392,2636,2079,3342,2056,1802,2344,2065,1561,2733,1589,1233,2047
"01/16/2018","89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","169","Whitefield, Bengaluru, Karnataka",2828,1979,4039,3311,2565,4274,3801,3142,4599,2893,2356,3553,2338,1614,3385,2039,1434,2900
"01/17/2018","89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","169","Whitefield, Bengaluru, Karnataka",3224,2205,4714,3615,2936,4451,3903,3310,4603,3560,2760,4593,3053,2247,4148,1734,1263,2381
"01/18/2018","89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","169","Whitefield, Bengaluru, Karnataka",3405,2349,4934,4098,3438,4885,4020,3476,4650,3167,2562,3915,3436,2452,4817,1543,1212,1964
"01/19/2018","89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","169","Whitefield, Bengaluru, Karnataka",3271,2250,4755,3729,2749,5058,4297,3537,5221,3299,2614,4162,3165,2245,4461,1840,1275,2654
"01/20/2018","89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","169","Whitefield, Bengaluru, Karnataka",2764,1903,4015,1977,1590,2457,3689,3182,4278,3030,2395,3833,2385,1787,3181,1588,1210,2085
"01/21/2018","89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","169","Whitefield, Bengaluru, Karnataka",2221,1717,2874,1845,1491,2283,2574,2150,3083,2150,1952,2369,2301,1708,3099,1801,1325,2448
"01/22/2018","89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","169","Whitefield, Bengaluru, Karnataka",2869,1985,4147,3418,2771,4217,4132,3551,4808,2970,2490,3543,2329,1668,3251,1684,1284,2208
"01/23/2018","89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","169","Whitefield, Bengaluru, Karnataka",2965,2133,4121,3006,2429,3720,4199,3784,4660,3067,2669,3524,2834,2073,3874,1811,1265,2593
"01/24/2018","89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","169","Whitefield, Bengaluru, Karnataka",3567,2519,5052,3524,2955,4204,4715,3979,5587,3408,2748,4225,3688,2862,4753,1651,1209,2255
"01/25/2018","89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","169","Whitefield, Bengaluru, Karnataka",1768,1345,2324,1683,1415,2000,,,,1875,1467,2397,1976,1533,2547,1454,1180,1792
"01/26/2018","89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","169","Whitefield, Bengaluru, Karnataka",2246,1637,3082,1813,1419,2315,2520,2092,3036,2419,1820,3215,2368,1763,3182,1427,1142,1784
"01/27/2018","89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","169","Whitefield, Bengaluru, Karnataka",2373,1825,3084,1892,1663,2153,2902,2475,3403,2451,2136,2814,2252,1812,2799,1338,1128,1587
"01/28/2018","89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","169","Whitefield, Bengaluru, Karnataka",2086,1624,2681,1808,1471,2223,2463,2120,2861,2151,1842,2512,2040,1591,2615,1734,1257,2390
"01/29/2018","89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","169","Whitefield, Bengaluru, Karnataka",3066,1951,4817,4221,3421,5208,4909,4029,5982,3311,2680,4089,2577,1946,3412,1684,1263,2244
"01/30/2018","89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","169","Whitefield, Bengaluru, Karnataka",3098,2031,4725,4073,3424,4845,3945,3425,4543,3242,2615,4019,2770,1938,3958,1593,1191,2130
"01/31/2018","89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","169","Whitefield, Bengaluru, Karnataka",2984,2050,4343,3404,2856,4057,3823,3507,4167,3396,2664,4330,2457,1849,3265,1580,1194,2092